group,param,p-value,p-value_adjust
Basic FGF,time1,1.2319149551378853e-5,3.202978883358502e-4
Basic FGF,time2,7.163337241224086e-4,0.017192009378937806
Basic FGF,time6,2.2105950583790359e-4,0.00552648764594759
G-CSF,time1,4.547942571408118e-4,0.011824650685661107
GM-CSF,time1,1.5069746503689895e-5,3.7674366259224737e-4
GM-CSF,time2,4.373894933657649e-6,1.1372126827509888e-4
GM-CSF,time3,0.002020130897471411,0.048483141539313865
IFNy,time1,1.1342704442203952e-6,2.9491031549730276e-5
IFNy,time2,7.940216853806902e-5,0.0019850542134517255
IL-1 ra,time1,1.0412036050403145e-4,0.002707129373104818
IL-1 ra,time3,0.0010487241560831525,0.026218103902078814
IL-13,time1,0.0015351289355278442,0.03991335232372395
IL-17a,time1,6.958644773309141e-4,0.018092476410603766
IL-1ß,time6,7.313447390926885e-4,0.0190149632164099
IL-2,time1,5.522138407520793e-7,1.4357559859554062e-5
IL-4,time1,1.1162850389208894e-4,0.0029023411011943126
Lactoferrin,protocolP4,9.021998200488152e-4,0.021652795681171566
Lactoferrin,time1,2.0160420675983118e-4,0.00504010516899578
Lactoferrin,time2,5.733196257058377e-5,0.001490631026835178
MIP-1a,time1,7.325789897081878e-7,1.9047053732412883e-5
MIP-1a,time2,9.917736487178565e-5,0.002479434121794641
MIP-1a,time6,1.9896311441866386e-4,0.004775114746047932
MIP-1b,time1,1.859684592759686e-5,4.649211481899215e-4
MIP-1b,time2,2.401852813485554e-4,0.005524261471016774
MIP-1b,time3,1.9180312008097725e-4,0.004603274881943454
MIP-1b,time6,2.9374316259774462e-6,7.63732222754136e-5
MMP-9,protocolP3,6.552518256842865e-7,1.703654746779145e-5
MMP-9,protocolP4,4.078158389863369e-4,0.010195395974658423
MMP-9,protocolP5,7.979626629153043e-4,0.019151103909967302
MMP-9,time2,0.0020372636516608096,0.046857063988198625
mmp9.se,protocolP2,4.07168379496863e-4,0.008957704348930985
mmp9.se,protocolP3,0.0018335951275361725,0.03667190255072345
mmp9.se,protocolP5,0.0013515674917973363,0.02838291732774406
mmp9.se,time1,6.700344973697116e-7,1.5410793439503366e-5
mmp9.se,time2,5.54827711605635e-26,1.3870692790140876e-24
mmp9.se,time3,2.5992222288533663e-38,6.757977795018753e-37
mmp9.se,time6,4.197480231937718e-25,1.0073952556650525e-23
PDGF-BB,time1,5.952916001641397e-5,0.0015477581604267632
PDGF-BB,time2,4.1471451729357836e-4,0.01036786293233946
SLPI,time1,1.7249713686303136e-21,4.4849255584388154e-20
SLPI,time2,4.1024021605083284e-12,1.0256005401270821e-010
SLPI,time3,5.658520398025997e-4,0.013580448955262394
slpi.se,protocolP2,3.2479008141499886e-4,0.007794961953959973
slpi.se,protocolP3,2.3022376438985696e-4,0.005755594109746424
slpi.se,protocolP5,0.001619181268517481,0.03562198790738458
slpi.se,time3,0.00044216339775698114,0.010169758148410566
slpi.se,time6,3.642340734549789e-7,9.470085909829451e-6
TNFa,time1,0.0011895892437657478,0.030929320337909443
